"scientificname","commonname","matchmethod","scientificnames_submitted","statelist_2005","statelist_2015","listingStatus","kingdom","phylum","class"
"Strophitus undulatus","Creeper","Exact Match","Strophitus undulates,Strophitus undulatus","Alabama,Arkansas,Delaware,Iowa,Kansas,Louisiana,Maryland,Massachusetts,Mississippi,New Jersey,North Carolina,Rhode Island,South Carolina,Tennessee,Texas,Virginia","Alabama,Delaware,Iowa,Kansas,Louisiana,Maryland,Massachusetts,Mississippi,New Hampshire,New Jersey,North Dakota,Rhode Island,South Carolina,Tennessee,Virginia,West Virginia",NA,"Animalia","Mollusca","Bivalvia"
"Stuckenia filiformis ssp. occidentalis","Thread-leaf Pondweed","Fuzzy Match","Stuckenia filiformis var. occidentalis","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Sturnella magna","Eastern Meadowlark","Exact Match","Sturnella magna","Connecticut,District of Columbia,Florida,Iowa,Kansas,Maine,Maryland,Massachusetts,Michigan,Minnesota,Nebraska,New Hampshire,New Jersey,New York,North Carolina,Ohio,Rhode Island,South Carolina,Texas,Vermont,Virginia,Wisconsin","Arizona,Connecticut,Delaware,District of Columbia,Illinois,Iowa,Kansas,Louisiana,Maine,Maryland,Massachusetts,Minnesota,Missouri,New Hampshire,New Jersey,New York,Ohio,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin",NA,"Animalia","Chordata","Aves"
"Sturnella neglecta","Western Meadowlark","Exact Match","Sturnella neglecta","Indiana,Michigan,Ohio,Oregon,Texas,Wisconsin","Indiana,Iowa,Michigan,Minnesota,North Dakota,Oregon,Wisconsin",NA,"Animalia","Chordata","Aves"
"Stutzia dioica","Rillscale","Fuzzy Match","Atriplex suckleyi,Stutzia dioica","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Stylurus intricatus","Brimstone Clubtail","Exact Match","Gomphus intricatus,Stylurus intricatus","Colorado,Iowa,Montana","Colorado,Iowa",NA,"Animalia","Arthropoda","Insecta"
"Stylurus notatus","Elusive Clubtail","Exact Match","Gomphus notatus,Stylurus notatus","Georgia,Illinois,Maryland,Michigan,Minnesota,Missouri,New York,Virginia","Illinois,Iowa,Michigan,Missouri,Nebraska,Ohio,Pennsylvania,South Dakota,Virginia,West Virginia","Species of Concern","Animalia","Arthropoda","Insecta"
"Suckleya suckleyana","Poison Suckleya","Exact Match","Suckleya suckleyana","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Sylvilagus aquaticus","Swamp Rabbit","Exact Match","Sylvilagus aquaticus,Sylvilagus  aquaticus","Illinois,Indiana,Kansas,Kentucky,Missouri,Oklahoma,South Carolina,Texas","Indiana,Kansas,Kentucky,Missouri,Oklahoma,South Carolina,Texas",NA,"Animalia","Chordata","Mammalia"
"Sympetrum madidum","Red-veined meadowfly","Exact Match","Sympetrum madidum","Colorado","Colorado,Minnesota",NA,"Animalia","Arthropoda","Insecta"
"Symphoricarpos albus var. albus","Snowberry","Exact Match","Symphoricarpos albus var. albus","","Massachusetts,Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Symphyotrichum ascendens","Western Aster","Exact Match","Symphyotrichum ascendens","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Symphyotrichum falcatum var. falcatum","Prairie White Aster","Exact Match","Symphyotrichum falcatum var. falcatum","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Symphyotrichum fendleri","Fendler's Aster","Exact Match","Symphyotrichum fendleri","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Symphyotrichum lateriflorum","White Woodland Aster","Exact Match","Symphyotrichum lateriflorum","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Symphyotrichum subulatum","Saltmarsh Aster","Exact Match","Symphyotrichum subulatum","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Symphyotrichum urophyllum","White Arrow-leaf Aster","Exact Match","Symphyotrichum urophyllum","","Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Synaptomys borealis","Northern Bog Lemming","Exact Match","Synaptomys borealis,Synaptomys borealis sphagnicola","Alaska,Idaho,Maine,Minnesota,Montana,New Hampshire,Vermont","Alaska,Idaho,Maine,Minnesota,Montana,New Hampshire,Vermont,Washington","Under Review in the Candidate or Petition Process","Animalia","Chordata","Mammalia"
"Synaptomys cooperi","Southern Bog Lemming","Exact Match","Synaptomys cooperi,Synaptomys cooperi helaletes","Arkansas,Connecticut,District of Columbia,Georgia,Iowa,Kansas,Maryland,Massachusetts,Michigan,New Jersey,North Carolina,Ohio,Rhode Island,Tennessee,Vermont,Virginia,West Virginia","Arkansas,Connecticut,Georgia,Iowa,Kansas,Maryland,Massachusetts,New Hampshire,New Jersey,Rhode Island,Tennessee,Vermont,West Virginia","Resolved Taxon","Animalia","Chordata","Mammalia"
"Tachopteryx thoreyi","Gray Petaltail","Exact Match","Tachopteryx thoreyi","District of Columbia,Florida,Kansas,Maryland,Michigan,New York,Pennsylvania,Vermont,Virginia,West Virginia","District of Columbia,Kansas,Maryland,Michigan,New Jersey,New York,Ohio,Pennsylvania,Virginia,West Virginia",NA,"Animalia","Arthropoda","Insecta"
"Tachycineta thalassina","Violet-green Swallow","Exact Match","Tachycineta thalassina","Alaska,Nebraska","Nebraska",NA,"Animalia","Chordata","Aves"
"Tamias minimus","Least Chipmunk","Exact Match","Eutamias minimus,Tamias minimus","Arizona,Michigan,Nebraska","Arizona,Nebraska",NA,"Animalia","Chordata","Mammalia"
"Tamias striatus","Eastern Chipmunk","Exact Match","Tamias striatus","District of Columbia,Florida,Nebraska,Ohio","District of Columbia,Florida,Louisiana,Nebraska,Ohio",NA,"Animalia","Chordata","Mammalia"
"Tamiasciurus hudsonicus dakotensis","Black Hills red squirrel","Exact Match","Tamiasciurus hudsonicus dakotensis","","South Dakota",NA,"Animalia","Chordata","Mammalia"
"Tantilla hobartsmithi","Smith's black-headed snake","Fuzzy Match","Tantilla hobartsmithi,Tantilla horbartsmithi,Tantilla horbartsmIthi","Arizona,Colorado,Utah","Colorado,Nevada,Utah",NA,"Animalia","Chordata","Reptilia"
"Tantilla nigriceps","Plains Black-headed Snake","Exact Match","Tantilla nigriceps,Tantilla Nigriceps","Arizona,Nebraska,Wyoming","Nebraska,Wyoming",NA,"Animalia","Chordata","Reptilia"
"Telesonix jamesii","James telesonix","Exact Match","Telesonix jamesii","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Tephrosia virginiana","Hoary-pea","Exact Match","Tephrosia virginiana","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Terrapene ornata","Ornate Box Turtle","Exact Match","Terrapene ornata,Terrapene  ornata","Illinois,Indiana,Iowa,New Mexico,South Dakota,Wisconsin","Arizona,Arkansas,Illinois,Indiana,Iowa,Louisiana,South Dakota,Texas,Wisconsin",NA,"Animalia","Chordata","Reptilia"
"Terrapene ornata ornata","Ornate Box Turtle","Exact Match","Terrapene ornata ornata","Arkansas,Louisiana,Wyoming","Missouri,Wyoming",NA,"Animalia","Chordata","Reptilia"
"Thalictrum heliophilum","Sun-loving meadow rue","Exact Match","Thalictrum heliophilum","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Thamnophis cyrtopsis","Black-necked Gartersnake","Exact Match","Thamnophis cyrtopsis","Colorado,Utah","Arizona,Colorado,Oklahoma,Utah",NA,"Animalia","Chordata","Reptilia"
"Thamnophis elegans","Terrestrial Garter Snake","Exact Match","Thamnophis elegans","","Nebraska",NA,"Animalia","Chordata","Reptilia"
"Thamnophis marcianus","Checkered Garter Snake (T)","Exact Match","Thamnophis marcianus","Kansas","Kansas",NA,"Animalia","Chordata","Reptilia"
"Thamnophis proximus","Western Ribbon Snake","Exact Match","Thamnophis proximus,Thamnophis  proximus","Indiana,Nebraska,Wisconsin","Indiana,Iowa,Nebraska,New Mexico,Tennessee,Wisconsin",NA,"Animalia","Chordata","Reptilia"
"Thamnophis radix","Plains Gartersnake","Exact Match","Thamnophis radix,Thamnophis radix radix","Ohio,Wyoming","Iowa,Missouri,Ohio,Wisconsin,Wyoming",NA,"Animalia","Chordata","Reptilia"
"Thamnophis sirtalis","Eastern Garter Snake","Exact Match","Thamnophis sirtalis,Thamnophis sirtalis spp.,Thamnophis sirtalus","California,Colorado,District of Columbia,Utah,Wyoming","Colorado,District of Columbia","Species of Concern","Animalia","Chordata","Reptilia"
"Thamnophis sirtalis fitchi","Valley Gartersnake","Exact Match","Thamnophis sirtalis fitchi","","Wyoming",NA,"Animalia","Chordata","Reptilia"
"Thamnophis sirtalis parietalis","Red-Sided Gartersnake","Exact Match","Thamnophis sirtalis parietalis","","Wyoming",NA,"Animalia","Chordata","Reptilia"
"Theliderma cylindrica","Rabbitsfoot","Fuzzy Match","Quadrula cylindrica,Quadrula cylindrica cylindrica,Quadrula cylindrica strigillata,Theliderma cylindrica","Alabama,Arkansas,Illinois,Indiana,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Ohio,Oklahoma,Pennsylvania,Tennessee,Virginia","Alabama,Arkansas,Illinois,Indiana,Kansas,Kentucky,Louisiana,Mississippi,Missouri,Ohio,Oklahoma,Pennsylvania,Tennessee,Virginia,West Virginia",NA,"Animalia","Mollusca","Bivalvia"
"Thelypodiopsis juniperorum","Juniper tumble mustard","Exact Match","Thelypodiopsis juniperorum","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Thelypodium paniculatum","Northwestern thelypody","Exact Match","Thelypodium paniculatum","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Thomomys bottae rubidus","Botta's pocket gopher (rubidus ssp)","Exact Match","Thomomys bottae rubidus","Colorado","Colorado",NA,"Animalia","Chordata","Mammalia"
"Thomomys clusius","Wyoming Pocket Gopher","Exact Match","Thomomys clusius","Wyoming","Wyoming","Resolved Taxon","Animalia","Chordata","Mammalia"
"Thomomys idahoensis","Idaho Pocket Gopher","Exact Match","Thomomys idahoensis","Idaho,Utah,Wyoming","Utah,Wyoming",NA,"Animalia","Chordata","Mammalia"
"Thomomys talpoides cheyennensis","Cheyenne Northern Pocket Gopher","Exact Match","Thomomys talpoides cheyennensis","Nebraska","Nebraska",NA,"Animalia","Chordata","Mammalia"
"Thomomys talpoides pierreicolus","Pierre Northern Pocket Gopher","Exact Match","Thomomys talpoides pierreicolus","","Nebraska",NA,"Animalia","Chordata","Mammalia"
"Thorybes bathyllus","Southern Cloudywing","Exact Match","Thorybes bathyllus","Pennsylvania","Iowa,Maine,Nebraska,Pennsylvania",NA,"Animalia","Arthropoda","Insecta"
"Thryothorus ludovicianus","Carolina Wren","Exact Match","Thryothorus ludovicianus","Nebraska,Ohio","Nebraska,South Carolina",NA,"Animalia","Chordata","Aves"
"Thymallus arcticus","Arctic Grayling","Exact Match","Thymallus arcticus","Montana,Wyoming","Alaska,Montana","Resolved Taxon","Animalia","Chordata","Teleostei"
"Townsendia fendleri","Fendler’s townsend-daisy","Exact Match","Townsendia fendleri","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Townsendia glabella","Gray’s townsend-daisy","Exact Match","Townsendia glabella","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Townsendia hookeri","Hooker's Townsendia","Exact Match","Townsendia hookeri","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Townsendia rothrockii","Rothrock townsend-daisy","Exact Match","Townsendia rothrockii","","Colorado","Resolved Taxon","Plantae","Tracheophyta","Magnoliopsida"
"Toxolasma parvum","Lilliput","Exact Match","Toxolasma parvum,Toxolasma parvus,Toxoplasma parvum,Toxoplasma parvus","Georgia,Iowa,Kansas,Michigan,New York,Pennsylvania,West Virginia","Arkansas,Kansas,Michigan,New York,Pennsylvania,West Virginia",NA,"Animalia","Mollusca","Bivalvia"
"Toxostoma curvirostre","Curve-billed thrasher","Exact Match","Toxostoma curcirostre,Toxostoma curvirostre","Colorado,Kansas,Texas","Kansas",NA,"Animalia","Chordata","Aves"
"Trachemys scripta elegans","Red-eared Slider","Exact Match","Trachemys scripta elegans","Ohio","Nebraska",NA,"Animalia","Chordata","Reptilia"
"Tragia ramosa","A Noseburn","Exact Match","Tragia ramosa","Missouri","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Triadenum fraseri","Marsh-St. John's-wort","Exact Match","Triadenum fraseri","Nebraska","Nebraska,Tennessee",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Trichostema brachiatum","False Pennyroyal","Exact Match","Trichostema brachiatum","Nebraska","Massachusetts,Nebraska,Vermont",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Trifolium dasyphyllum ssp. anemophilum","Whip-root clover","Exact Match","Trifolium dasyphyllum ssp. anemophilum","","Colorado",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Trifolium reflexum","Buffalo Clover","Exact Match","Trifolium reflexum","","Nebraska,Tennessee,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Triglochin palustris","Marsh Arrow-grass","Exact Match","Triglochin palustris","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Trillium nivale","Snow Trillium","Exact Match","Trillium nivale,Trillium nivale 21,Trillium nivale 22","Missouri,Nebraska","Missouri,Nebraska,West Virginia",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Trimerotropis salina","Band-Winged Grasshopper","Exact Match","Trimerotropis salina","New Mexico","Nebraska",NA,"Animalia","Arthropoda","Insecta"
"Tringa flavipes","Lesser Yellowlegs","Exact Match","Tringa flavipes","Alaska,Arkansas,Iowa,Kansas,Kentucky,Rhode Island,South Carolina,Texas,Vermont,Virgin Islands","Alaska,Delaware,District of Columbia,Florida,Illinois,Iowa,Kansas,Kentucky,Maine,Maryland,New Jersey,South Carolina,Vermont","Species of Concern","Animalia","Chordata","Aves"
"Tringa melanoleuca","Greater Yellowlegs","Exact Match","Tringa melanoleuca","Arkansas,Delaware,Illinois,Iowa,Kansas,Maine,Maryland,Minnesota,New Jersey,New York,Rhode Island,South Carolina,Texas,Virgin Islands","Delaware,Indiana,Kansas,Maine,Maryland,Minnesota,New Jersey,New York,Rhode Island,South Carolina",NA,"Animalia","Chordata","Aves"
"Tringa semipalmata","Willet","Fuzzy Match","Catoptrophorus semipalmatus,Tringa semipalmata,Tringa semipalmatus","Connecticut,Delaware,Maine,Maryland,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Dakota,Rhode Island,South Carolina,South Dakota,Virgin Islands,Washington","Connecticut,Delaware,Maine,Maryland,Massachusetts,New Hampshire,New Jersey,New York,North Carolina,North Dakota,Rhode Island,South Carolina,South Dakota,Virginia",NA,"Animalia","Chordata","Aves"
"Triodanis perfoliata ssp. biflora","Small Venus'-looking-glass","Fuzzy Match","Triodanis biflora","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Triphora trianthophoros var. trianthophoros","Nodding-pogonia","Fuzzy Match","Triphora trianthophora var. trianthophora","","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Tripterocalyx micranthus","Small-flower Sandpuffs","Exact Match","Tripterocalyx micranthus","Nebraska","Nebraska",NA,"Plantae","Tracheophyta","Magnoliopsida"
"Tritogonia verrucosa","Pistolgrip","Exact Match","Quadrula verrucosa,Tritogonia verrucosa","Iowa,Kansas,Minnesota,Nebraska,Ohio,Pennsylvania,Virginia,West Virginia,Wisconsin","Illinois,Iowa,Minnesota,Nebraska,Pennsylvania,Virginia,West Virginia,Wisconsin",NA,"Animalia","Mollusca","Bivalvia"
"Tropidoclonion lineatum","Lined Snake","Exact Match","Tropidoclonion lineatum","Illinois,Minnesota,South Dakota","Arkansas,Illinois,Iowa,Minnesota,Missouri,South Dakota,Wisconsin",NA,"Animalia","Chordata","Reptilia"
"Truncilla donaciformis","Fawnsfoot","Exact Match","Truncilla donaciformis","Arkansas,Georgia,Iowa,Kansas,Michigan,Minnesota,New York,Ohio,Pennsylvania,Texas,West Virginia,Wisconsin","Arkansas,Iowa,Kansas,Louisiana,Michigan,Minnesota,Ohio,Pennsylvania,West Virginia,Wisconsin",NA,"Animalia","Mollusca","Bivalvia"
"Truncilla truncata","Deertoe","Exact Match","Truncilla truncata","Alabama,Kansas,Mississippi,New York,Ohio,Virginia,West Virginia","Iowa,Kansas,Michigan,Mississippi,New York,North Dakota,Ohio,Pennsylvania,Virginia,West Virginia",NA,"Animalia","Mollusca","Bivalvia"
"Tryngites subruficollis","Buff-breasted Sandpiper","Followed Accepted AphiaID","Calidris subruficollis,Calidris  subruficollis,Tryngites subruficollis","Alaska,Arkansas,Delaware,Illinois,Iowa,Kansas,Kentucky,Minnesota,Nebraska,New York,Oklahoma,South Carolina,Tennessee,Texas,Wisconsin","Alaska,Arkansas,Delaware,Florida,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Nebraska,New York,Oklahoma,South Carolina,Tennessee,Texas",NA,"Animalia","Chordata","Aves"
"Tympanuchus cupido","Greater Prairie-Chicken","Exact Match","Tympanuchus cupido","Arkansas,Colorado,Illinois,Iowa,Kansas,Kentucky,Minnesota,Missouri,Nebraska,North Dakota,Ohio,Oklahoma,South Dakota,Tennessee,Wisconsin","Colorado,Illinois,Iowa,Kansas,Kentucky,Minnesota,Missouri,Nebraska,North Dakota,Oklahoma,South Dakota,Tennessee,Texas,Wisconsin",NA,"Animalia","Chordata","Aves"
"Tympanuchus pallidicinctus","Lesser Prairie-Chicken","Exact Match","Tympanuchus pallidicinctus","Colorado,Kansas,New Mexico,Oklahoma,Texas","Colorado,Kansas,New Mexico,Oklahoma,Texas","Under Review in the Candidate or Petition Process","Animalia","Chordata","Aves"
"Tympanuchus phasianellus","Sharp-tailed Grouse","Exact Match","Tympanuchus phasianellus","Idaho,Iowa,Michigan,Minnesota,North Dakota,Utah,Washington,Wisconsin,Wyoming","Idaho,Iowa,Michigan,Minnesota,Montana,North Dakota,Utah,Washington,Wisconsin",NA,"Animalia","Chordata","Aves"
"Tympanuchus phasianellus columbianus","Columbian Sharp-tailed Grouse","Exact Match","Tympanuchus phasianellus columbianus","Colorado,Montana,Nevada","California,Colorado,Nevada,Oregon,Wyoming","Resolved Taxon","Animalia","Chordata","Aves"
"Tympanuchus phasianellus jamesi","Plains sharp-tailed grouse","Fuzzy Match","Tympanuchus phasianellus jamesii","Colorado","Colorado",NA,"Animalia","Chordata","Aves"
"Tyrannus forficatus","Scissor-tailed Flycatcher","Exact Match","Tyrannus forficatus","Kansas,Louisiana,Nebraska,Tennessee,Texas","Kansas,Nebraska,Texas",NA,"Animalia","Chordata","Aves"
"Tyrannus tyrannus","Eastern Kingbird","Exact Match","Tyrannus tyrannus","Alaska,Connecticut,Delaware,Kansas,Maine,Michigan,New Jersey,North Carolina,Ohio,Rhode Island,Texas,Virginia","Connecticut,Delaware,Iowa,Kansas,Maine,New Jersey,Rhode Island,South Carolina,Virginia",NA,"Animalia","Chordata","Aves"
"Tyrannus verticalis","Western Kingbird","Exact Match","Tyrannus verticalis","Kansas","Kansas,Minnesota",NA,"Animalia","Chordata","Aves"
"Tyrannus vociferans","Cassin's Kingbird","Exact Match","Tyrannus vociferans","Nebraska,Texas","Nebraska",NA,"Animalia","Chordata","Aves"
"Tyto alba","Barn Owl","Exact Match","Tyto alba","Arkansas,Connecticut,Delaware,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Maryland,Massachusetts,Michigan,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin","Connecticut,Delaware,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Mississippi,Missouri,Nebraska,New Jersey,New York,North Carolina,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Virginia,West Virginia",NA,"Animalia","Chordata","Aves"
"Umbra limi","Central Mudminnow","Exact Match","Umbra limi","Illinois,Iowa,Kentucky,Missouri,South Dakota,West Virginia","Arkansas,Illinois,Iowa,Kentucky,Missouri,Ohio,Pennsylvania,South Dakota,West Virginia",NA,"Animalia","Chordata","Teleostei"
"Uniomerus tetralasmus","Pondhorn","Exact Match","Uniomerus tetralasmus","Arkansas,Colorado,Iowa,Kansas,Ohio,West Virginia","Arkansas,Colorado,Iowa,Kansas,Ohio,West Virginia",NA,"Animalia","Mollusca","Bivalvia"
